N° Police,Nom,Prénom,Sexe,Âge,Catégorie Prof.,Salaire Annuel (€),Ville,Code Postal,Type Contrat,Statut Contrat,Date Souscription,Date Échéance,Ancienneté (mois),Prime Annuelle (€),Franchise (€),Nb Garanties,Type Véhicule,Usage Véhicule,Puissance Fiscale (CV),Valeur Véhicule (€),Coeff. Bonus-Malus,Nb Sinistres (3 ans),Montant Sinistres (€),Dernier Sinistre,Score Risque (0-100),Résiliation
POL-2026-00001,Lambert,Fatou,F,32,Cadre,46800,Paris,75015,Bronze,Actif,20/11/2013,20/11/2026,153,558,600,3,Berline,Privé,8,21300,0.96,2,10017,1-2 ans,38,0
POL-2026-00002,Lefebvre,Samuel,H,54,Employé,28500,Paris,75018,Gold,Résilié,24/12/2012,24/12/2026,164,1024,300,8,Citadine,Trajet travail,5,14900,0.93,2,16071,2-3 ans,51,1
POL-2026-00003,Simon,Léa,F,42,Indépendant,32200,Toulouse,31004,Platine,Actif,06/09/2012,06/09/2026,167,1783,150,11,SUV,Trajet travail,7,46500,0.75,1,1964,1-2 ans,8,0
POL-2026-00004,David,Amina,F,38,Employé,30700,Paris,75001,Bronze,Actif,12/01/2022,12/01/2027,55,394,600,2,SUV,Trajet travail,9,33400,0.5,0,0,Aucun,0,0
POL-2026-00005,Martinez,Michel,H,41,Employé,29600,Paris,75011,Platine,Actif,28/07/2024,28/07/2027,25,3116,100,9,Sportive,Professionnel,17,38500,1.0,0,0,Aucun,43,0
POL-2026-00006,Laurent,Élodie,F,45,Ouvrier,24100,Toulouse,31006,Silver,Actif,26/08/2023,26/08/2026,36,1197,600,5,Sportive,Trajet travail,12,21700,1.22,1,4615,< 6 mois,74,0
POL-2026-00007,Kamga,Amina,F,50,Indépendant,36300,Lyon,69008,Silver,Actif,30/08/2024,30/08/2026,24,948,600,5,SUV,Trajet travail,9,30800,1.07,0,0,Aucun,58,0
POL-2026-00008,Mercier,Aïcha,F,29,Étudiant,10100,Bordeaux,33004,Gold,Actif,25/05/2012,25/05/2027,171,956,300,6,SUV,Professionnel,10,30300,0.5,0,0,Aucun,10,0
POL-2026-00009,Mbarga,Samuel,H,28,Employé,24900,Nice,6007,Gold,Actif,14/05/2013,14/05/2027,159,637,400,8,SUV,Privé,7,32000,0.56,0,0,Aucun,0,0
POL-2026-00010,Rousseau,Éric,H,56,Employé,28400,Paris,75007,Gold,Actif,05/06/2014,05/06/2027,146,972,400,8,Berline,Privé,8,46000,0.61,0,0,Aucun,0,0
POL-2026-00011,Bertrand,Julien,H,37,Sans emploi,7100,Nice,6007,Silver,Actif,18/09/2015,18/09/2026,131,557,400,4,SUV,Privé,8,46300,0.51,0,0,Aucun,0,0
POL-2026-00012,Simon,Céline,F,24,Employé,36200,Nice,6014,Silver,Actif,29/06/2021,29/06/2027,62,1128,400,5,Citadine,Professionnel,5,15800,0.91,2,845,6-12 mois,79,0
POL-2026-00013,Muller,Julie,F,48,Employé,20900,Nantes,44011,Bronze,Actif,30/06/2019,30/06/2027,86,661,1000,2,SUV,Privé,10,21400,0.91,1,3196,1-2 ans,50,0
POL-2026-00014,David,Émilie,F,48,Employé,33900,Bordeaux,33009,Bronze,Actif,21/01/2014,21/01/2027,151,424,600,3,Sportive,Trajet travail,10,37600,0.51,2,2464,2-3 ans,16,0
POL-2026-00015,Laurent,Éric,H,22,Ouvrier,11800,Bordeaux,33002,Silver,Résilié,24/06/2014,24/06/2027,146,1170,400,4,Citadine,Privé,4,11600,1.08,1,3385,6-12 mois,55,1
POL-2026-00016,Traoré,Hugo,H,45,Retraité,23600,Bordeaux,33011,Bronze,Actif,15/11/2018,15/11/2026,93,487,800,3,Utilitaire,Privé,6,13700,0.97,0,0,Aucun,33,0
POL-2026-00017,Mercier,Claire,F,52,Indépendant,53400,Bordeaux,33003,Bronze,Actif,26/02/2014,26/02/2027,150,838,1000,3,Sportive,Trajet travail,19,53600,0.69,0,0,Aucun,27,0
POL-2026-00018,Dubois,David,H,47,Indépendant,43400,Paris,75006,Bronze,Actif,26/05/2021,26/05/2027,63,329,1000,2,Citadine,Privé,4,13600,0.79,0,0,Aucun,12,0
POL-2026-00019,Mercier,Marie,F,50,Employé,30500,Nice,6008,Bronze,Actif,17/05/2020,17/05/2027,75,327,600,2,Berline,Professionnel,9,15000,0.5,0,0,Aucun,0,0
POL-2026-00020,André,Nathalie,F,24,Cadre,41400,Toulouse,31002,Silver,Actif,25/01/2014,25/01/2027,151,1225,500,5,Utilitaire,Privé,5,27400,0.83,0,0,Aucun,43,0
